heading,price,Year,Make,Model,Class,Length,Fuel_Type,Hull_Material,Offered_By,Engine_Make,Engine_Model,Engine_Year,Total_Power,Engine_Hours,Engine_Type,Fuel_Type.1,Propeller_Type,Dry_Weight,Folding_Propeller,Cruising_Speed,Length_on_Deck,Max_Speed,Length_Overall,Beam,Length_at_Waterline,Windlass,Liferaft_Capacity,Electrical_Circuit,Fresh_Water_Tank,Fuel_Tank,Holding_Tank,Single_Berths,Double_Berths,Cabins,Heads,state,Country/Region/State ,Make,Variant,Length (ft),Geographic Region,Country/Region/State ,Listing Price (USD),Year,new_year
2005 Alubat Ovni 395,211916.0,15.0,Alubat,Ovni 395,Cruiser,40.09,Diesel,Aluminum,A,Volvo,D2,,40.0,5000.0,Inboard,Diesel|Diesel,3.0,,0,,40.0,,41.0,13.0,,Electric Windlass,,12.0,113.59 gal (),66.04 gal (),18.49 gal (),,3.0,3.0,2,Les Trois Ilets,Martinique,Alubat,Ovni 395,41,Europe,France,267233,2005,15
2000 Bavaria 38 Cruiser,70639.0,20.0,Bavaria,38 Cruiser,Cruiser,39.3,Diesel,Fiberglass,Network Yacht Brokers ,None,None,,,,None,Diesel,,,0,,,,40.0,12.0,,Electric Windlass,8.0,12.0,,,,,,,2,Preveza,Greece,Bavaria,38 Cruiser,38,Europe,Croatia,75178,2005,15
2000 Bavaria 38 Cruiser,70639.0,20.0,Bavaria,38 Cruiser,Cruiser,39.3,Diesel,Fiberglass,Network Yacht Brokers ,None,None,,,,None,Diesel,,,0,,,,40.0,12.0,,Electric Windlass,8.0,12.0,,,,,,,2,Preveza,Greece,Bavaria,38 Cruiser,38,Europe,Croatia,66825,2005,15
2000 Bavaria 38 Cruiser,70639.0,20.0,Bavaria,38 Cruiser,Cruiser,39.3,Diesel,Fiberglass,Network Yacht Brokers ,None,None,,,,None,Diesel,,,0,,,,40.0,12.0,,Electric Windlass,8.0,12.0,,,,,,,2,Preveza,Greece,Bavaria,38 Cruiser,38,Europe,Croatia,54661,2005,15
2023 Bavaria C42,432319.0,-3.0,Bavaria,C42,Racer/Cruiser,42.0,Diesel,Fiberglass,Cruising Yachts ,Yanmar,None,-3.0,40.0,4.0,None,Diesel|Diesel,3.0,21.0,0,7.0,,8.0,40.0,14.0,37.0,None,,,2 x 132 gal (),1 x 66 gal (),2 x 20 gal (),,,3.0,2,San Diego,California,Bavaria,38 Cruiser ,38,Europe,Croatia,53447,2005,15
2000 Bavaria 38 Cruiser,70639.0,20.0,Bavaria,38 Cruiser,Cruiser,39.3,Diesel,Fiberglass,Network Yacht Brokers ,None,None,,,,None,Diesel,,,0,,,,40.0,12.0,,Electric Windlass,8.0,12.0,,,,,,,2,Preveza,Greece,Bavaria,38 Cruiser,38,Europe,Greece,91101,2005,15
2005 Bavaria 39 Cruiser,48904.0,15.0,Bavaria,39 Cruiser,Cruiser,39.0,Diesel,Fiberglass,Selymar Yachts,None,None,,,,None,Diesel,,,0,,,,39.0,13.0,,None,,,,,,,,,2,Istria,Croatia,Bavaria,39 Cruiser,39,Europe,Greece,66748,2005,15
2006 Bavaria 42 Match,89113.0,14.0,Bavaria,42 Match,Racer,40.88,Diesel,Fiberglass,Almissani d,Volvo Penta,55 Hp Diesel,,76.0,,Inboard,Diesel|Diesel,,16.0,0,,,,40.0,12.0,36.0,Electric Windlass,,,79.26 gal (),39.63 gal (),,6.0,,3.0,1,Zadar,Croatia,Bavaria,42 Match,41,Europe,Croatia,78945,2005,15
2006 Bavaria 42 Match,89113.0,14.0,Bavaria,42 Match,Racer,40.88,Diesel,Fiberglass,Almissani d,Volvo Penta,55 Hp Diesel,,76.0,,Inboard,Diesel|Diesel,,16.0,0,,,,40.0,12.0,36.0,Electric Windlass,,,79.26 gal (),39.63 gal (),,6.0,,3.0,1,Zadar,Croatia,Bavaria,42 Match,41,Europe,Croatia,58297,2005,15
2005 Bavaria 42 Cruiser,122833.0,15.0,Bavaria,42 Cruiser,Cruiser,42.0,Diesel,Fiberglass,Williams ,Volvo Penta,D2,15.0,55.0,,Inboard,Diesel|Diesel,3.0,,0,,,,42.0,13.0,37.0,None,,,,,,,,,2,Dubrovnik,Croatia,Bavaria,42 Cruiser,42,Europe,Croatia,112906,2005,15
