排名,球员,效力球队,位置,年龄,场数,时间,回合占有率,回合占有率  %,真实命中率,真实命中率  %,助攻率,助攻率  %,助攻率/回合占有率,助攻率/回合占有率  %,失误率,失误率  %
1,姜伟泽,九台农商银行,控球后卫,22,38,1442,65,21.8%,71,56.5%,18,18.8%,5,0.86,93,11.9%
2,陈盈骏,广州龙狮,控球后卫,29,38,1437,73,22.5%,95,61.7%,91,41.1%,78,1.83,75,14.8%
3,姜宇星,九台农商银行,小前锋,27,38,1421,65,18.3%,87,62.2%,78,14.3%,76,0.78,74,11.0%
4,崔晋铭,九台农商银行,得分后卫,30,38,1392,43,17.3%,84,57.3%,46,16.6%,59,0.96,71,13.0%
5,原帅,山西汾酒股份,得分后卫,28,38,1323,41,17.3%,95,63.1%,8,7.9%,6,0.46,92,9.4%
6,祝铭震,广州龙狮,小前锋,26,37,1313,54,16.9%,54,55.4%,35,7.2%,20,0.43,89,8.5%
7,邢志强,山西汾酒股份,大前锋,28,38,1270,26,14.2%,60,58.6%,23,6.2%,32,0.43,88,8.5%
8,陈林坚,福建浔兴股份,大前锋,29,34,1217,89,22.3%,39,53.5%,82,12.4%,61,0.56,63,11.3%
9,齐麟,新疆伊力王酒,小前锋,23,37,1202,80,21.0%,30,52.9%,65,11.9%,39,0.57,56,12.8%
10,阿不都沙拉木,新疆伊力王酒,大前锋,26,32,1189,98,26.7%,54,57.9%,98,18.1%,79,0.68,65,11.2%
11,林庭谦,天津先行者,得分后卫,23,37,1185,78,23.8%,63,54.9%,79,27.5%,70,1.16,56,14.9%
12,朱俊龙,浙江广厦控股,小前锋,23,37,1180,11,12.1%,98,66.5%,28,6.8%,37,0.56,70,11.1%
13,贺希宁,深圳马可波罗,小前锋,25,35,1177,78,20.8%,69,57.8%,93,17.6%,85,0.85,43,13.4%
14,李江淮,福建浔兴股份,得分后卫,30,36,1175,6,13.8%,49,53.3%,62,21.1%,89,1.53,41,15.7%
15,胡金秋,浙江广厦控股,大前锋,25,37,1171,91,22.3%,100,75.7%,14,5.7%,4,0.25,86,8.6%
16,唐才育,新疆伊力王酒,得分后卫,25,35,1158,27,15.9%,86,57.4%,33,13.8%,49,0.87,78,12.5%
17,胡明轩,广东东莞大益,得分后卫,24,38,1144,60,20.5%,79,56.8%,78,24.6%,75,1.20,44,15.5%
18,景菡一,四川金荣实业,得分后卫,23,37,1135,56,20.3%,59,54.6%,52,18.5%,51,0.91,40,15.8%
19,陶汉林,山东高速,中锋,31,31,1131,69,22.2%,72,62.6%,40,8.1%,28,0.36,69,12.5%
20,费尔德,山西汾酒股份,控球后卫,27,35,1117,93,34.1%,69,55.8%,100,57.2%,65,1.68,98,10.7%
21,徐杰,广东东莞大益,控球后卫,22,36,1115,44,17.4%,87,59.9%,35,25.1%,47,1.44,76,14.5%
22,陈培东,山东高速,得分后卫,23,38,1115,48,18.3%,38,49.7%,56,19.5%,63,1.06,60,14.5%
23,金鑫,天津先行者,小前锋,27,38,1109,35,15.1%,50,55.0%,22,6.5%,22,0.43,83,9.4%
24,任骏威,上海久事,大前锋,32,37,1105,39,15.6%,53,57.8%,63,9.6%,72,0.62,75,10.3%
25,赵率舟,苏州肯帝亚,小前锋,27,36,1098,63,18.0%,72,59.1%,50,9.9%,35,0.55,98,6.8%
26,廖三宁,北京控股,控球后卫,21,37,1088,76,23.7%,36,47.6%,45,28.0%,22,1.18,71,15.4%
27,赵继伟,辽宁本钢,控球后卫,27,37,1080,75,23.4%,75,57.0%,93,42.5%,76,1.82,49,18.6%
28,张宁,山西汾酒股份,小前锋,25,38,1080,56,16.9%,65,56.9%,54,10.2%,52,0.60,48,13.3%
29,吴前,浙江稠州金租,控球后卫,28,35,1076,87,28.5%,73,56.6%,57,34.7%,27,1.22,69,15.8%
30,范子铭,北京首钢,大前锋,24,35,1066,81,20.4%,88,62.8%,96,17.3%,93,0.85,68,11.0%
31,张镇麟,辽宁本钢,小前锋,23,33,1061,83,21.2%,20,50.8%,46,8.9%,19,0.42,65,12.1%
32,葛昭宝,山西汾酒股份,中锋,30,35,1059,72,22.5%,66,60.8%,85,16.9%,79,0.75,87,9.8%
33,高诗岩,山东高速,控球后卫,26,33,1051,64,21.5%,38,47.7%,80,38.7%,73,1.80,65,16.2%
34,王子瑞,南京同曦宙光,控球后卫,29,33,1046,80,24.2%,42,48.9%,56,32.8%,38,1.35,60,17.3%
35,孙铭徽,浙江广厦控股,控球后卫,26,35,1037,89,29.0%,65,55.2%,96,47.0%,60,1.62,47,18.8%
36,张彪,宁波甬兴证券,大前锋,32,35,1035,93,23.7%,57,58.5%,95,16.4%,81,0.69,51,12.8%
37,摩尔特里,新疆伊力王酒,中锋,32,25,1032,79,24.8%,97,70.4%,70,13.0%,56,0.52,78,10.7%
38,翟晓川,北京首钢,小前锋,29,35,1026,72,19.6%,43,53.8%,87,15.8%,80,0.80,33,14.5%
39,朱松玮,四川金荣实业,大前锋,26,36,1023,88,21.3%,51,56.0%,93,15.4%,86,0.72,35,15.5%
40,罗汉琛,上海久事,控球后卫,28,38,1022,11,13.1%,82,58.6%,9,16.7%,33,1.27,95,11.6%
41,布克,深圳马可波罗,控球后卫,29,37,1016,85,28.2%,64,55.1%,95,43.3%,53,1.54,91,12.0%
42,孟子凯,天津先行者,大前锋,26,38,1015,74,19.1%,75,62.2%,60,9.4%,47,0.49,53,12.3%
43,王奕博,浙江稠州金租,控球后卫,23,38,1011,53,19.3%,78,57.6%,76,38.0%,87,1.96,44,19.4%
44,黄毅超,福建浔兴股份,小前锋,30,32,1004,59,17.7%,61,56.0%,33,7.2%,15,0.41,78,10.5%
45,张殿梁,四川金荣实业,大前锋,25,38,1000,75,19.3%,68,59.6%,74,10.6%,60,0.55,46,13.5%
46,王哲林,上海久事,中锋,28,36,982,87,26.3%,61,60.0%,61,10.8%,39,0.41,63,13.0%
47,钟诚,九台农商银行,中锋,33,38,982,25,15.8%,12,50.3%,91,20.6%,96,1.30,36,16.0%
48,赵柏清,南京同曦宙光,大前锋,24,33,977,63,18.1%,79,62.4%,40,7.6%,30,0.42,49,12.9%
49,多米尼克-琼斯,九台农商银行,得分后卫,34,25,971,98,32.9%,51,53.4%,97,42.9%,78,1.30,89,10.1%
50,程帅澎,浙江稠州金租,得分后卫,23,35,959,68,22.3%,76,56.6%,63,21.4%,56,0.96,52,15.3%
51,李安,九台农商银行,中锋,32,38,957,40,17.8%,48,56.1%,30,7.0%,33,0.39,94,8.3%
52,顾全,深圳马可波罗,大前锋,30,32,957,95,23.9%,86,62.8%,81,11.7%,46,0.49,81,9.9%
53,于德豪,新疆伊力王酒,控球后卫,27,38,955,60,20.5%,20,42.2%,85,40.2%,84,1.96,28,23.3%
54,赵岩昊,浙江广厦控股,得分后卫,25,34,950,86,26.5%,89,60.6%,51,18.2%,28,0.69,79,12.0%
55,沈梓捷,深圳马可波罗,中锋,25,32,942,43,18.3%,99,71.3%,72,13.8%,81,0.75,52,14.2%
56,李慕豪,北京首钢,中锋,30,36,933,31,16.6%,73,62.9%,33,7.2%,45,0.43,85,9.9%
57,付豪,辽宁本钢,中锋,25,38,930,67,21.8%,70,62.5%,48,8.6%,34,0.39,90,9.4%
58,富兰克林,上海久事,得分后卫,31,35,927,87,26.5%,73,56.4%,98,43.6%,90,1.64,30,17.1%
59,刘铮,上海久事,小前锋,32,37,914,69,18.5%,63,56.6%,85,15.8%,87,0.85,59,12.7%
60,纳撒尼尔-梅森,广州龙狮,控球后卫,27,27,912,84,26.7%,62,53.8%,65,35.5%,36,1.33,84,13.9%
